m,w,d,wdRatio,SCcomp,SCtheor,theta1,theta2,theta3,theta4,theta5
3,18.2,52,0.35,0.734755111111111,0.664117266728631,44.4219281774557,41.5691048299038,0,0,0
6,18.55,53,0.35,0.917719555555556,0.479529637748512,18.5621545453649,31.3817879065196,19.5179395496656,49.9105506291641,48.6176874446304
4,8.55,57,0.15,0.500326222222222,0.523897274573418,14.0191887265431,27.3855218767867,23.0740136706914,0,0
4,23.2,58,0.4,0.854075555555556,0.646290294621859,58.8272909658225,14.0869584397709,31.7135453131599,0,0
2,19.6,56,0.35,0.580716,0.537045388453393,51.4301225473325,0,0,0,0
6,21.6,54,0.4,0.911336888888889,0.230427097370068,0.0204877330883346,32.4526993657826,12.4638373197636,13.1570152909458,19.5483757640533
2,17.4,58,0.3,0.521196888888889,0.493538290724796,32.5979659851065,0,0,0,0
3,19.6,56,0.35,0.739781333333333,0.664117266728631,57.4525870177212,53.5699991590801,0,0,0
3,13.25,53,0.25,0.600716444444444,0.586271169820366,37.3681674395478,47.7974811185038,0,0,0
5,5.9,59,0.1,0.438608,0.464259122186565,1.50903008571013,24.8657328554419,43.8844480783762,46.8824400165578,0
3,17.7,59,0.3,0.659621333333333,0.636384387633061,14.5562031767802,7.77581855025242,0,0,0
3,7.95,53,0.15,0.412526222222222,0.418903718043597,55.6492804307657,3.07882540900773,0,0,0
4,5.9,59,0.1,0.367078666666667,0.386803304927642,10.0536558126763,30.1320369245684,59.9597687415432,0,0
3,2.6,52,0.05,0.167493333333333,0.162014911398325,23.8703474461623,20.0200908228177,0,0,0
3,22.8,57,0.4,0.780835555555556,0.669469807107075,57.7268277433718,26.2783906579679,0,0,0
6,2.8,56,0.05,0.290968888888889,0.306709314720961,48.0645454179672,13.9788920048189,55.9481205552587,45.7957665200245,49.5869723821609
4,18.55,53,0.35,0.819380444444444,0.69688860103623,13.4077185675512,18.7431805211552,35.0714087117133,0,0
6,8.1,54,0.15,0.649831111111111,0.681922863405995,51.7234379059888,36.884373012984,59.4712672997876,12.2219325111373,49.6325450967993
5,5.5,55,0.1,0.469982666666667,0.464259122186565,23.9445136036075,35.9662949454847,48.0313659482311,6.30412627747025,0
6,18.55,53,0.35,0.918200888888889,0.479529637748512,25.80416775695,34.3343531047611,42.0494838462742,44.5481854192368,45.4730490372471
3,12,60,0.2,0.510796,0.513777613290544,34.3782820362291,50.9833232531204,0,0,0
3,14,56,0.25,0.600745333333333,0.586271169820366,57.8081079484195,5.15416169803506,0,0,0
4,12.5,50,0.25,0.698564888888889,0.685469848228883,54.2799887814075,53.0633363105916,26.3393800083354,0,0
5,5.6,56,0.1,0.456523111111111,0.464259122186565,15.6374207636652,26.7393726863745,50.6399706884962,11.7722951238751,0
3,10.6,53,0.2,0.480606222222222,0.513777613290544,47.9091497712929,59.2492545113612,0,0,0
2,5.7,57,0.1,0.209897777777778,0.208797659642211,22.5282997618528,0,0,0,0
6,22.8,57,0.4,0.945042222222222,0.230427097370068,51.6059326112496,24.1130038804851,37.9158478786474,59.1141983648898,33.5686443592365
6,16.5,55,0.3,0.873896444444444,0.649230484541327,38.3418655608738,53.2582119533762,11.9242050059353,23.7219764373126,59.5305181497183
4,17.7,59,0.3,0.743037333333333,0.709948452238572,59.7229065910732,39.1897968656814,6.50618567133089,0,0
2,14,56,0.25,0.460442666666667,0.438959968979379,57.7178794683196,0,0,0,0
5,16.5,55,0.3,0.846161333333333,0.714230484541327,15.5936568890638,57.7196260149704,32.4122422508112,1.81620980518612,0
5,12.5,50,0.25,0.775884888888889,0.736556004204932,53.4021739936928,19.8121345508412,13.7820718722672,6.83691851971135,0
3,5.7,57,0.1,0.299469333333333,0.301649484079524,3.96960747589961,16.525882791655,0,0,0
3,21.6,54,0.4,0.786152888888889,0.669469807107075,45.3548472544777,36.1977825489209,0,0,0
5,3,60,0.05,0.290774222222222,0.260402347844048,50.9158005287729,3.0387898602326,27.9721100274382,19.539196496882,0
5,5.6,56,0.1,0.429904888888889,0.464259122186565,36.1893792263938,35.9927457499714,26.9056728230349,2.12540764096731,0
4,10.2,51,0.2,0.596216444444444,0.623452789007165,27.5925377365388,27.0529652205498,33.0684201482651,0,0
6,17.7,59,0.3,0.884993777777778,0.649230484541327,3.13152914573406,13.1808786843208,27.578520606682,57.5120157677406,47.4027214187663
4,7.5,50,0.15,0.506337777777778,0.523897274573418,44.4543181736153,30.4076714433302,11.9955247883613,0,0
4,5.8,58,0.1,0.374287111111111,0.386803304927642,22.101050497728,56.5090677143931,1.03035245464304,0,0
6,16.5,55,0.3,0.878528888888889,0.649230484541327,39.0304581228036,43.5977719383908,5.66931383523471,52.6544360584596,0.861728636759147
3,6,60,0.1,0.302328888888889,0.301649484079524,4.09082620962207,34.8655936547095,0,0,0
5,17.7,59,0.3,0.831130666666667,0.714230484541327,3.35715176442125,49.011310426431,31.7353479797057,41.6610336373465,0
3,14.25,57,0.25,0.600652888888889,0.586271169820366,57.3860734356281,26.6725297724083,0,0,0
